"country","region","country_no","excelsource","type_data","excelsheet","country_code","name_label","death_occurrence_date","death_publication_date","cum_death_total_occ_date"
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-29,2020-04-30,7594
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-28,2020-04-30,7583
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-27,2020-04-30,7525
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-26,2020-04-30,7409
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-25,2020-04-30,7247
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-24,2020-04-30,7105
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-23,2020-04-30,6965
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-22,2020-04-30,6793
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-21,2020-04-30,6599
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-20,2020-04-30,6390
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-19,2020-04-30,6190
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-18,2020-04-30,5974
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-17,2020-04-30,5775
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-16,2020-04-30,5577
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-15,2020-04-30,5329
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-14,2020-04-30,5059
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-13,2020-04-30,4792
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-12,2020-04-30,4518
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-11,2020-04-30,4178
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-10,2020-04-30,3892
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-09,2020-04-30,3563
"Belgium","Europe",56,"Belgium_YYYY_MM_DD_Deaths_Covid-19.xlsx","Total","DailyTotal","BEL","Belgium (Sciensiano)",2020-04-08,2020-04-30,3287
