Time period,Start date,"Estimated COVID-19 incidence rate per 10,000 people per day",95% Lower confidence/credible Interval,95% Upper confidence/credible Interval
08 June 2020 to 21 June 2020,08/06/2020,0.59,0.27,1.29
14 June 2020 to 27 June 2020,14/06/2020,0.64,0.34,1.21
22 June 2020 to 05 July 2020,22/06/2020,0.30,0.14,0.67
06 July 2020 to 12 July 2020,06/07/2020,0.31,0.13,0.77
13 July 2020 to 19 July 2020,13/07/2020,0.52,0.28,1.00
20 July 2020 to 26 July 2020,20/07/2020,0.78,0.40,1.49
27 July 2020 to 02 August 2020,27/07/2020,0.68,0.38,1.17
03 August 2020 to 09 August 2020,03/08/2020,0.69,0.42,1.08
07 August 2020 to 13 August 2020,07/08/2020,0.44,0.22,0.76
14 August 2020 to 20 August 2020,14/08/2020,0.40,0.21,0.69
19 August 2020 to 25 August 2020,19/08/2020,0.36,0.21,0.58
30 August 2020 to 05 September 2020,30/08/2020,0.58,0.38,0.84
04 September 2020 to 10 September 2020,04/09/2020,1.10,0.77,1.51
13 September 2020 to 19 September 2020,13/09/2020,1.75,1.31,2.30
18 September 2020 to 24 September 2020,18/09/2020,1.54,1.19,1.96
25 September 2020 to 01 October 2020,25/09/2020,3.16,2.53,4.19
02 October 2020 to 08 October 2020,02/10/2020,5.11,4.15,6.99
10 October 2020 to 16 October 2020,10/10/2020,6.46,5.46,8.55
17 October 2020 to 23 October 2020,17/10/2020,9.52,7.06,14.53
25 October 2020 to 31 October 2020,25/10/2020,8.38,6.92,10.93
31 October 2020 to 06 November 2020,31/10/2020,8.75,7.25,10.93
08 November 2020 to 14 November 2020,08/11/2020,7.14,6.29,8.09
22 November 2020 to 28 November 2020,22/11/2020,4.71,4.09,5.40
29 November 2020 to 05 December 2020,29/11/2020,7.17,6.30,7.93
06 December 2020 to 12 December 2020,06/12/2020,8.62,7.72,9.38
13 December 2020 to 19 December 2020,13/12/2020,13.45,12.34,14.44
20 December 2020 to 26 December 2020,20/12/2020,19.64,18.17,21.16
27 December 2020 to 02 January 2021,27/12/2020,15.52,14.06,17.00
03 January 2021 to 09 January 2021,03/01/2021,11.60,10.19,12.94
10 January 2021 to 16 January 2021,10/01/2021,13.09,11.64,14.38
17 January 2021 to 23 January 2021,17/01/2021,11.30,9.86,12.50
24 January 2021 to 30 January 2021,24/01/2021,9.23,7.85,10.26
31 January 2021 to 06 February 2021,31/01/2021,6.18,4.97,7.13
07 February 2021 to 13 February 2021,07/02/2021,3.53,2.59,4.27
14 February 2021 to 20 February 2021,14/02/2021,2.44,1.72,3.03
21 February 2021 to 27 February 2021,21/02/2021,1.68,1.08,2.16
28 February 2021 to 06 March 2021,28/02/2021,1.87,1.35,2.30
07 March 2021 to 13 March 2021,07/03/2021,2.00,1.47,2.45
14 March 2021 to 20 March 2021,14/03/2021,2.29,1.76,2.68
21 March 2021 to 27 March 2021,21/03/2021,2.75,2.15,3.02
28 March 2021 to 03 April 2021,28/03/2021,2.04,1.64,2.47
03 April 2021 to 09 April 2021,03/04/2021,1.31,0.97,1.66
11 April 2021 to 17 April 2021,11/04/2021,0.66,0.40,0.93
19 April 2021 to 25 April 2021,19/04/2021,0.54,0.34,0.76
25 April 2021 to 01 May 2021,25/04/2021,0.53,0.36,0.73
02 May 2021 to 08 May 2021,02/05/2021,0.60,0.47,0.75
09 May 2021 to 15 May 2021,09/05/2021,0.74,0.61,0.90
16 May 2021 to 22 May 2021,16/05/2021,0.99,0.83,1.17
23 May 2021 to 29 May 2021,23/05/2021,1.32,1.11,1.56
30 May 2021 to 05 June 2021,30/05/2021,1.51,1.26,1.78
06 June 2021 to 12 June 2021,06/06/2021,2.33,2.01,2.69
13 June 2021 to 19 June 2021,13/06/2021,3.05,2.68,3.47
20 June 2021 to 26 June 2021,20/06/2021,5.20,4.65,5.80
27 June 2021 to 03 July 2021,27/06/2021,8.25,7.53,9.03
