date_of_occurence,cum_deaths
30/06/2021,127824
29/06/2021,127810
28/06/2021,127795
27/06/2021,127776
26/06/2021,127764
25/06/2021,127743
24/06/2021,127732
23/06/2021,127711
22/06/2021,127687
21/06/2021,127663
20/06/2021,127645
19/06/2021,127621
18/06/2021,127604
17/06/2021,127580
16/06/2021,127549
15/06/2021,127512
14/06/2021,127481
13/06/2021,127446
12/06/2021,127420
11/06/2021,127384
10/06/2021,127352
09/06/2021,127317
08/06/2021,127275
07/06/2021,127234
06/06/2021,127169
05/06/2021,127118
04/06/2021,127061
03/06/2021,127012
02/06/2021,126940
01/06/2021,126899
31/05/2021,126839
30/05/2021,126772
29/05/2021,126721
28/05/2021,126649
27/05/2021,126571
26/05/2021,126479
25/05/2021,126392
24/05/2021,126300
23/05/2021,126205
22/05/2021,126112
21/05/2021,126002
20/05/2021,125912
19/05/2021,125783
18/05/2021,125675
17/05/2021,125556
16/05/2021,125414
15/05/2021,125287
14/05/2021,125148
13/05/2021,124998
12/05/2021,124852
11/05/2021,124694
10/05/2021,124497
09/05/2021,124299
08/05/2021,124127
07/05/2021,123952
06/05/2021,123754
05/05/2021,123561
04/05/2021,123349
03/05/2021,123087
02/05/2021,122862
01/05/2021,122636
30/04/2021,122428
29/04/2021,122181
28/04/2021,121938
27/04/2021,121654
26/04/2021,121412
25/04/2021,121096
24/04/2021,120812
23/04/2021,120499
22/04/2021,120169
21/04/2021,119879
20/04/2021,119535
19/04/2021,119202
18/04/2021,118880
17/04/2021,118566
16/04/2021,118229
15/04/2021,117905
14/04/2021,117577
13/04/2021,117234
12/04/2021,116851
11/04/2021,116444
10/04/2021,116062
09/04/2021,115672
08/04/2021,115249
07/04/2021,114820
06/04/2021,114412
05/04/2021,113929
04/04/2021,113522
03/04/2021,113136
02/04/2021,112687
01/04/2021,112243
31/03/2021,111793
30/03/2021,111343
29/03/2021,110925
28/03/2021,110469
27/03/2021,110082
26/03/2021,109706
25/03/2021,109263
24/03/2021,108829
23/03/2021,108380
22/03/2021,107913
21/03/2021,107519
20/03/2021,107109
19/03/2021,106728
18/03/2021,106328
17/03/2021,105911
16/03/2021,105509
15/03/2021,105077
14/03/2021,104705
13/03/2021,104395
12/03/2021,104034
11/03/2021,103637
10/03/2021,103259
09/03/2021,102899
08/03/2021,102577
07/03/2021,102269
06/03/2021,101963
05/03/2021,101674
04/03/2021,101354
03/03/2021,101040
02/03/2021,100714
01/03/2021,100393
28/02/2021,100068
27/02/2021,99827
26/02/2021,99546
25/02/2021,99258
24/02/2021,98987
23/02/2021,98743
22/02/2021,98430
21/02/2021,98074
20/02/2021,97806
19/02/2021,97552
18/02/2021,97258
17/02/2021,96951
16/02/2021,96613
15/02/2021,96325
14/02/2021,96042
13/02/2021,95771
12/02/2021,95516
11/02/2021,95229
10/02/2021,94928
09/02/2021,94640
08/02/2021,94282
07/02/2021,93951
06/02/2021,93649
05/02/2021,93304
04/02/2021,92893
03/02/2021,92558
02/02/2021,92190
01/02/2021,91789
31/01/2021,91433
30/01/2021,91066
29/01/2021,90686
28/01/2021,90329
27/01/2021,89936
26/01/2021,89500
25/01/2021,89057
24/01/2021,88661
23/01/2021,88246
22/01/2021,87836
21/01/2021,87410
20/01/2021,86988
19/01/2021,86548
18/01/2021,86078
17/01/2021,85601
16/01/2021,85154
15/01/2021,84707
14/01/2021,84201
13/01/2021,83773
12/01/2021,83320
11/01/2021,82851
10/01/2021,82375
09/01/2021,81929
08/01/2021,81489
07/01/2021,81041
06/01/2021,80576
05/01/2021,80102
04/01/2021,79600
03/01/2021,79092
02/01/2021,78667
01/01/2021,78236
31/12/2020,77779
30/12/2020,77345
29/12/2020,76866
28/12/2020,76417
27/12/2020,75912
26/12/2020,75490
25/12/2020,75056
24/12/2020,74629
23/12/2020,74139
22/12/2020,73634
21/12/2020,73135
20/12/2020,72627
19/12/2020,72126
18/12/2020,71614
17/12/2020,71058
16/12/2020,70465
15/12/2020,69822
14/12/2020,69237
13/12/2020,68660
12/12/2020,68087
11/12/2020,67490
10/12/2020,66879
09/12/2020,66249
08/12/2020,65559
07/12/2020,64957
06/12/2020,64310
05/12/2020,63659
04/12/2020,63029
03/12/2020,62334
02/12/2020,61671
01/12/2020,60947
30/11/2020,60291
29/11/2020,59597
28/11/2020,58922
27/11/2020,58192
26/11/2020,57416
25/11/2020,56676
24/11/2020,55848
23/11/2020,55078
22/11/2020,54305
21/11/2020,53576
20/11/2020,52891
19/11/2020,52106
18/11/2020,51291
17/11/2020,50487
16/11/2020,49693
15/11/2020,48927
14/11/2020,48201
13/11/2020,47502
12/11/2020,46831
11/11/2020,46103
10/11/2020,45422
09/11/2020,44757
08/11/2020,44148
07/11/2020,43578
06/11/2020,43074
05/11/2020,42554
04/11/2020,42001
03/11/2020,41530
02/11/2020,41093
01/11/2020,40642
31/10/2020,40280
30/10/2020,39904
29/10/2020,39549
28/10/2020,39249
27/10/2020,38942
26/10/2020,38704
25/10/2020,38454
24/10/2020,38255
23/10/2020,38043
22/10/2020,37862
21/10/2020,37700
20/10/2020,37553
19/10/2020,37406
18/10/2020,37298
17/10/2020,37193
16/10/2020,37103
15/10/2020,36999
14/10/2020,36931
13/10/2020,36859
12/10/2020,36790
11/10/2020,36713
10/10/2020,36657
09/10/2020,36605
08/10/2020,36561
07/10/2020,36522
06/10/2020,36489
05/10/2020,36464
04/10/2020,36425
03/10/2020,36405
02/10/2020,36388
01/10/2020,36358
30/09/2020,36332
29/09/2020,36313
28/09/2020,36288
27/09/2020,36267
26/09/2020,36242
25/09/2020,36223
24/09/2020,36194
23/09/2020,36173
22/09/2020,36147
21/09/2020,36134
20/09/2020,36117
19/09/2020,36098
18/09/2020,36082
17/09/2020,36058
16/09/2020,36042
15/09/2020,36026
14/09/2020,36005
13/09/2020,35992
12/09/2020,35978
11/09/2020,35964
10/09/2020,35955
09/09/2020,35946
08/09/2020,35939
07/09/2020,35939
06/09/2020,35920
05/09/2020,35914
04/09/2020,35900
03/09/2020,35889
02/09/2020,35878
01/09/2020,35867
31/08/2020,35858
30/08/2020,35849
29/08/2020,35842
27/08/2020,35842
26/08/2020,35836
25/08/2020,35826
24/08/2020,35820
23/08/2020,35813
22/08/2020,35813
21/08/2020,35807
20/08/2020,35807
19/08/2020,35796
18/08/2020,35789
17/08/2020,35783
16/08/2020,35783
15/08/2020,35773
14/08/2020,35773
13/08/2020,35763
12/08/2020,35755
11/08/2020,35750
10/08/2020,35743
09/08/2020,35733
08/08/2020,35733
07/08/2020,35727
06/08/2020,35719
05/08/2020,35713
04/08/2020,35706
03/08/2020,35706
02/08/2020,35699
01/08/2020,35699
31/07/2020,35699
30/07/2020,35699
29/07/2020,35692
28/07/2020,35685
27/07/2020,35677
26/07/2020,35661
25/07/2020,35656
24/07/2020,35651
23/07/2020,35643
22/07/2020,35643
21/07/2020,35627
20/07/2020,35613
19/07/2020,35605
18/07/2020,35595
17/07/2020,35581
16/07/2020,35575
15/07/2020,35558
14/07/2020,35550
13/07/2020,35543
12/07/2020,35521
11/07/2020,35512
10/07/2020,35505
09/07/2020,35494
08/07/2020,35484
07/07/2020,35474
06/07/2020,35463
05/07/2020,35449
04/07/2020,35438
03/07/2020,35431
02/07/2020,35415
01/07/2020,35400
30/06/2020,35385
29/06/2020,35369
28/06/2020,35351
27/06/2020,35338
26/06/2020,35314
25/06/2020,35294
24/06/2020,35268
23/06/2020,35243
22/06/2020,35192
21/06/2020,35161
20/06/2020,35136
19/06/2020,35117
18/06/2020,35083
17/06/2020,35039
16/06/2020,35004
15/06/2020,34960
14/06/2020,34922
13/06/2020,34900
12/06/2020,34876
11/06/2020,34842
10/06/2020,34803
09/06/2020,34765
08/06/2020,34720
07/06/2020,34677
06/06/2020,34641
05/06/2020,34563
04/06/2020,34496
03/06/2020,34436
02/06/2020,34386
01/06/2020,34330
31/05/2020,34268
30/05/2020,34220
29/05/2020,34171
28/05/2020,34110
27/05/2020,34039
26/05/2020,33988
25/05/2020,33928
24/05/2020,33853
23/05/2020,33768
22/05/2020,33673
21/05/2020,33589
20/05/2020,33511
19/05/2020,33423
18/05/2020,33331
17/05/2020,33231
16/05/2020,33112
15/05/2020,33009
14/05/2020,32854
13/05/2020,32713
12/05/2020,32568
11/05/2020,32408
10/05/2020,32245
09/05/2020,32075
08/05/2020,31875
07/05/2020,31704
06/05/2020,31523
05/05/2020,31305
04/05/2020,31080
03/05/2020,30861
02/05/2020,30618
01/05/2020,30365
30/04/2020,30106
29/04/2020,29845
28/04/2020,29546
27/04/2020,29232
26/04/2020,28902
25/04/2020,28583
24/04/2020,28225
23/04/2020,27839
22/04/2020,27483
21/04/2020,27098
20/04/2020,26732
19/04/2020,26287
18/04/2020,25826
17/04/2020,25363
16/04/2020,24886
15/04/2020,24437
14/04/2020,23926
13/04/2020,23387
12/04/2020,22854
11/04/2020,22275
10/04/2020,21689
09/04/2020,21080
08/04/2020,20533
07/04/2020,19929
06/04/2020,19317
05/04/2020,18723
04/04/2020,18120
03/04/2020,17479
02/04/2020,16803
01/04/2020,16111
31/03/2020,15397
30/03/2020,14687
29/03/2020,13897
28/03/2020,13131
27/03/2020,12205
26/03/2020,11323
25/03/2020,10486
24/03/2020,9615
23/03/2020,8793
22/03/2020,7933
21/03/2020,7119
20/03/2020,6299
19/03/2020,5546
18/03/2020,4890
17/03/2020,4247
16/03/2020,3673
15/03/2020,3162
14/03/2020,2729
13/03/2020,2282
12/03/2020,1903
11/03/2020,1579
10/03/2020,1267
09/03/2020,983
08/03/2020,758
07/03/2020,580
06/03/2020,410
05/03/2020,299
04/03/2020,219
03/03/2020,163
02/03/2020,107
01/03/2020,82
29/02/2020,56
28/02/2020,41
27/02/2020,30
26/02/2020,21
25/02/2020,15
24/02/2020,5
