Date,deaths
11/03/2020,0
12/03/2020,2
13/03/2020,0
14/03/2020,2
15/03/2020,1
16/03/2020,3
17/03/2020,3
18/03/2020,4
19/03/2020,4
20/03/2020,5
21/03/2020,7
22/03/2020,6
23/03/2020,7
24/03/2020,12
25/03/2020,22
26/03/2020,24
27/03/2020,23
28/03/2020,37
29/03/2020,27
30/03/2020,51
31/03/2020,57
01/04/2020,65
02/04/2020,61
03/04/2020,75
04/04/2020,56
05/04/2020,86
06/04/2020,91
07/04/2020,85
08/04/2020,92
09/04/2020,108
10/04/2020,98
11/04/2020,94
12/04/2020,75
13/04/2020,81
14/04/2020,100
15/04/2020,94
16/04/2020,101
17/04/2020,84
18/04/2020,95
19/04/2020,90
20/04/2020,105
21/04/2020,96
22/04/2020,88
23/04/2020,72
24/04/2020,76
25/04/2020,79
26/04/2020,78
27/04/2020,85
28/04/2020,59
29/04/2020,69
30/04/2020,68
01/05/2020,67
02/05/2020,60
03/05/2020,60
04/05/2020,62
05/05/2020,67
06/05/2020,59
07/05/2020,61
08/05/2020,58
09/05/2020,50
10/05/2020,38
11/05/2020,45
12/05/2020,35
13/05/2020,53
14/05/2020,50
15/05/2020,34
16/05/2020,37
17/05/2020,34
18/05/2020,34
19/05/2020,31
20/05/2020,29
21/05/2020,34
22/05/2020,19
23/05/2020,15
24/05/2020,14
25/05/2020,22
26/05/2020,21
27/05/2020,23
28/05/2020,22
29/05/2020,19
30/05/2020,12
31/05/2020,11
01/06/2020,6
02/06/2020,14
03/06/2020,12
04/06/2020,5
05/06/2020,15
06/06/2020,8
07/06/2020,10
08/06/2020,9
09/06/2020,5
10/06/2020,12
11/06/2020,4
12/06/2020,4
13/06/2020,6
14/06/2020,7
15/06/2020,9
16/06/2020,8
17/06/2020,10
18/06/2020,9
19/06/2020,2
20/06/2020,7
21/06/2020,8
22/06/2020,6
23/06/2020,3
24/06/2020,3
25/06/2020,2
26/06/2020,3
27/06/2020,5
28/06/2020,1
29/06/2020,2
30/06/2020,2
01/07/2020,4
02/07/2020,1
03/07/2020,1
04/07/2020,3
05/07/2020,1
06/07/2020,3
07/07/2020,0
08/07/2020,1
09/07/2020,0
10/07/2020,0
11/07/2020,3
12/07/2020,0
13/07/2020,1
14/07/2020,3
15/07/2020,2
16/07/2020,0
17/07/2020,0
18/07/2020,2
19/07/2020,2
20/07/2020,1
21/07/2020,0
