areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,10/02/2023,62,186138
nation,England,E92000001,09/02/2023,46,186076
nation,England,E92000001,08/02/2023,59,186030
nation,England,E92000001,07/02/2023,56,185971
nation,England,E92000001,06/02/2023,45,185915
nation,England,E92000001,05/02/2023,63,185870
nation,England,E92000001,04/02/2023,48,185807
nation,England,E92000001,03/02/2023,55,185759
nation,England,E92000001,02/02/2023,63,185704
nation,England,E92000001,01/02/2023,54,185641
nation,England,E92000001,31/01/2023,52,185587
nation,England,E92000001,30/01/2023,53,185535
nation,England,E92000001,29/01/2023,62,185482
nation,England,E92000001,28/01/2023,61,185420
nation,England,E92000001,27/01/2023,64,185359
nation,England,E92000001,26/01/2023,61,185295
nation,England,E92000001,25/01/2023,53,185234
nation,England,E92000001,24/01/2023,69,185181
nation,England,E92000001,23/01/2023,59,185112
nation,England,E92000001,22/01/2023,63,185053
nation,England,E92000001,21/01/2023,62,184990
nation,England,E92000001,20/01/2023,64,184928
nation,England,E92000001,19/01/2023,68,184864
nation,England,E92000001,18/01/2023,70,184796
nation,England,E92000001,17/01/2023,71,184726
nation,England,E92000001,16/01/2023,87,184655
nation,England,E92000001,15/01/2023,85,184568
nation,England,E92000001,14/01/2023,82,184483
nation,England,E92000001,13/01/2023,79,184401
nation,England,E92000001,12/01/2023,100,184322
nation,England,E92000001,11/01/2023,73,184222
nation,England,E92000001,10/01/2023,81,184149
nation,England,E92000001,09/01/2023,106,184068
nation,England,E92000001,08/01/2023,97,183962
nation,England,E92000001,07/01/2023,96,183865
nation,England,E92000001,06/01/2023,85,183769
nation,England,E92000001,05/01/2023,112,183684
nation,England,E92000001,04/01/2023,115,183572
nation,England,E92000001,03/01/2023,109,183457
nation,England,E92000001,02/01/2023,101,183348
nation,England,E92000001,01/01/2023,102,183247
nation,England,E92000001,31/12/2022,128,183145
nation,England,E92000001,30/12/2022,124,183017
nation,England,E92000001,29/12/2022,94,182893
nation,England,E92000001,28/12/2022,107,182799
nation,England,E92000001,27/12/2022,111,182692
nation,England,E92000001,26/12/2022,102,182581
nation,England,E92000001,25/12/2022,100,182479
nation,England,E92000001,24/12/2022,114,182379
nation,England,E92000001,23/12/2022,98,182265
nation,England,E92000001,22/12/2022,80,182167
nation,England,E92000001,21/12/2022,84,182087
nation,England,E92000001,20/12/2022,94,182003
nation,England,E92000001,19/12/2022,94,181909
nation,England,E92000001,18/12/2022,83,181815
nation,England,E92000001,17/12/2022,73,181732
nation,England,E92000001,16/12/2022,70,181659
nation,England,E92000001,15/12/2022,43,181589
nation,England,E92000001,14/12/2022,77,181546
nation,England,E92000001,13/12/2022,60,181469
nation,England,E92000001,12/12/2022,54,181409
nation,England,E92000001,11/12/2022,55,181355
nation,England,E92000001,10/12/2022,55,181300
nation,England,E92000001,09/12/2022,52,181245
nation,England,E92000001,08/12/2022,56,181193
nation,England,E92000001,07/12/2022,49,181137
nation,England,E92000001,06/12/2022,57,181088
nation,England,E92000001,05/12/2022,50,181031
nation,England,E92000001,04/12/2022,30,180981
nation,England,E92000001,03/12/2022,45,180951
nation,England,E92000001,02/12/2022,39,180906
nation,England,E92000001,01/12/2022,48,180867
nation,England,E92000001,30/11/2022,35,180819
nation,England,E92000001,29/11/2022,38,180784
nation,England,E92000001,28/11/2022,47,180746
nation,England,E92000001,27/11/2022,44,180699
nation,England,E92000001,26/11/2022,32,180655
nation,England,E92000001,25/11/2022,39,180623
nation,England,E92000001,24/11/2022,40,180584
nation,England,E92000001,23/11/2022,47,180544
nation,England,E92000001,22/11/2022,41,180497
nation,England,E92000001,21/11/2022,44,180456
nation,England,E92000001,20/11/2022,52,180412
nation,England,E92000001,19/11/2022,43,180360
nation,England,E92000001,18/11/2022,51,180317
nation,England,E92000001,17/11/2022,44,180266
nation,England,E92000001,16/11/2022,43,180222
nation,England,E92000001,15/11/2022,55,180179
nation,England,E92000001,14/11/2022,55,180124
nation,England,E92000001,13/11/2022,49,180069
nation,England,E92000001,12/11/2022,37,180020
nation,England,E92000001,11/11/2022,56,179983
nation,England,E92000001,10/11/2022,43,179927
nation,England,E92000001,09/11/2022,51,179884
nation,England,E92000001,08/11/2022,57,179833
nation,England,E92000001,07/11/2022,63,179776
nation,England,E92000001,06/11/2022,46,179713
nation,England,E92000001,05/11/2022,59,179667
nation,England,E92000001,04/11/2022,77,179608
nation,England,E92000001,03/11/2022,70,179531
nation,England,E92000001,02/11/2022,64,179461
nation,England,E92000001,01/11/2022,68,179397
nation,England,E92000001,31/10/2022,64,179329
nation,England,E92000001,30/10/2022,87,179265
nation,England,E92000001,29/10/2022,79,179178
nation,England,E92000001,28/10/2022,74,179099
nation,England,E92000001,27/10/2022,96,179025
nation,England,E92000001,26/10/2022,81,178929
nation,England,E92000001,25/10/2022,91,178848
nation,England,E92000001,24/10/2022,92,178757
nation,England,E92000001,23/10/2022,84,178665
nation,England,E92000001,22/10/2022,99,178581
nation,England,E92000001,21/10/2022,87,178482
nation,England,E92000001,20/10/2022,105,178395
nation,England,E92000001,19/10/2022,87,178290
nation,England,E92000001,18/10/2022,88,178203
nation,England,E92000001,17/10/2022,101,178115
nation,England,E92000001,16/10/2022,95,178014
nation,England,E92000001,15/10/2022,91,177919
nation,England,E92000001,14/10/2022,102,177828
nation,England,E92000001,13/10/2022,99,177726
nation,England,E92000001,12/10/2022,110,177627
nation,England,E92000001,11/10/2022,97,177517
nation,England,E92000001,10/10/2022,76,177420
nation,England,E92000001,09/10/2022,82,177344
nation,England,E92000001,08/10/2022,80,177262
nation,England,E92000001,07/10/2022,85,177182
nation,England,E92000001,06/10/2022,77,177097
nation,England,E92000001,05/10/2022,84,177020
nation,England,E92000001,04/10/2022,78,176936
nation,England,E92000001,03/10/2022,69,176858
nation,England,E92000001,02/10/2022,54,176789
nation,England,E92000001,01/10/2022,58,176735
nation,England,E92000001,30/09/2022,46,176677
nation,England,E92000001,29/09/2022,53,176631
nation,England,E92000001,28/09/2022,54,176578
nation,England,E92000001,27/09/2022,56,176524
nation,England,E92000001,26/09/2022,49,176468
nation,England,E92000001,25/09/2022,32,176419
nation,England,E92000001,24/09/2022,39,176387
nation,England,E92000001,23/09/2022,43,176348
nation,England,E92000001,22/09/2022,45,176305
nation,England,E92000001,21/09/2022,30,176260
nation,England,E92000001,20/09/2022,43,176230
nation,England,E92000001,19/09/2022,41,176187
nation,England,E92000001,18/09/2022,30,176146
nation,England,E92000001,17/09/2022,31,176116
nation,England,E92000001,16/09/2022,29,176085
nation,England,E92000001,15/09/2022,39,176056
nation,England,E92000001,14/09/2022,37,176017
nation,England,E92000001,13/09/2022,46,175980
nation,England,E92000001,12/09/2022,32,175934
nation,England,E92000001,11/09/2022,18,175902
nation,England,E92000001,10/09/2022,31,175884
nation,England,E92000001,09/09/2022,29,175853
nation,England,E92000001,08/09/2022,37,175824
nation,England,E92000001,07/09/2022,47,175787
nation,England,E92000001,06/09/2022,27,175740
nation,England,E92000001,05/09/2022,31,175713
nation,England,E92000001,04/09/2022,36,175682
nation,England,E92000001,03/09/2022,40,175646
nation,England,E92000001,02/09/2022,42,175606
nation,England,E92000001,01/09/2022,34,175564
nation,England,E92000001,31/08/2022,56,175530
nation,England,E92000001,30/08/2022,35,175474
nation,England,E92000001,29/08/2022,44,175439
nation,England,E92000001,28/08/2022,54,175395
